City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,San Quintin,MX,30.4833,-115.95,70.3,65,0,17.43,clear sky
80,Chara,RU,56.9064,118.2631,63.79,94,100,2.33,overcast clouds
81,Lebu,CL,-37.6167,-73.65,50.92,75,59,16.2,broken clouds
82,Margate,GB,51.3813,1.3862,66.69,69,27,1.99,scattered clouds
83,Nexo,DK,55.0607,15.1306,64.49,78,48,13.62,scattered clouds
84,Provideniya,RU,64.3833,-173.3,46.51,87,100,7.0,overcast clouds
85,Hami,CN,42.8,93.45,78.26,16,4,10.42,clear sky
86,Emerald,AU,-23.5333,148.1667,47.34,95,100,4.92,overcast clouds
87,Beachwood,US,41.4645,-81.5087,87.51,42,40,6.91,scattered clouds
88,Trairi,BR,-3.2778,-39.2689,74.95,90,43,8.03,scattered clouds
89,Gavle,SE,60.6745,17.1417,62.38,74,94,1.99,overcast clouds
90,Eyl,SO,7.9803,49.8164,79.14,67,15,27.87,few clouds
91,East London,ZA,-33.0153,27.9116,64.67,83,69,12.21,broken clouds
92,Warah,PK,27.4481,67.7978,89.46,65,100,8.9,overcast clouds
93,Meulaboh,ID,4.1363,96.1285,76.32,84,100,5.3,overcast clouds
94,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,91,0,14.97,clear sky
95,Pevek,RU,69.7008,170.3133,39.51,87,38,5.12,scattered clouds
96,Opuwo,NA,-18.0607,13.84,60.46,37,0,4.0,clear sky
97,Port Elizabeth,ZA,-33.918,25.5701,50.29,100,20,4.61,few clouds
98,Chokurdakh,RU,70.6333,147.9167,61.38,53,100,16.73,overcast clouds
99,Butaritari,KI,3.0707,172.7902,82.9,75,43,20.76,scattered clouds
100,Cayenne,GF,4.9333,-52.3333,84.24,1,0,9.22,clear sky
101,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,84,0,15.01,clear sky
102,Ribeira Grande,PT,38.5167,-28.7,66.7,66,100,4.65,overcast clouds
103,Asau,RO,46.4333,26.4,72.52,77,17,4.41,few clouds
104,Kokkola,FI,63.8385,23.1307,63.03,92,0,2.3,clear sky
105,Katsuura,JP,35.1333,140.3,75.22,86,100,15.97,moderate rain
106,Sur,OM,22.5667,59.5289,85.14,73,100,6.04,overcast clouds
107,Ornskoldsvik,SE,63.2909,18.7153,61.75,77,20,6.91,few clouds
108,Srednekolymsk,RU,67.45,153.6833,66.9,49,100,14.07,overcast clouds
109,Superior,US,46.7208,-92.1041,66.49,95,100,14.97,fog
110,Namatanai,PG,-3.6667,152.4333,80.38,80,100,9.22,overcast clouds
111,Castro,BR,-24.7911,-50.0119,60.4,69,10,3.8,clear sky
112,Thunder Bay,CA,48.4001,-89.3168,58.98,82,100,8.05,overcast clouds
113,Tuktoyaktuk,CA,69.4541,-133.0374,82.4,42,20,12.66,few clouds
114,Kota Kinabalu,MY,5.9749,116.0724,75.18,88,20,5.99,few clouds
115,Neustrelitz,DE,53.3667,13.0833,58.42,77,52,5.1,broken clouds
116,Tiksi,RU,71.6872,128.8694,43.86,97,100,8.14,light rain
117,Belmonte,BR,-15.8631,-38.8828,72.55,85,2,10.63,clear sky
118,Yuli,NG,9.6989,10.2744,74.7,87,77,5.23,broken clouds
119,Morlaix,FR,48.5833,-4.0,59.22,87,20,3.44,few clouds
120,Khatanga,RU,71.9667,102.5,46.6,62,72,2.17,broken clouds
121,Adrar,MR,20.5022,-10.0711,97.61,16,82,4.52,broken clouds
122,Epe,NG,6.5841,3.9834,76.06,87,98,6.93,overcast clouds
123,Belen,TR,36.4891,36.2233,71.74,65,0,9.22,clear sky
124,Kaitangata,NZ,-46.2817,169.8464,42.98,83,19,7.2,few clouds
125,Bredasdorp,ZA,-34.5322,20.0403,47.64,84,0,1.28,clear sky
126,Tessalit,ML,20.1986,1.0114,96.53,8,6,9.08,clear sky
127,College,US,64.8569,-147.8028,78.58,56,75,0.0,smoke
128,Tuatapere,NZ,-46.1333,167.6833,48.83,78,98,6.04,overcast clouds
129,Carnarvon,AU,-24.8667,113.6333,61.84,37,0,8.12,clear sky
130,Hamilton,US,39.1834,-84.5333,92.98,42,0,10.36,clear sky
131,Hilo,US,19.7297,-155.09,84.27,66,75,8.05,broken clouds
132,Jhunjhunun,IN,28.1307,75.4014,91.31,58,54,5.3,broken clouds
133,Hermanus,ZA,-34.4187,19.2345,52.38,77,0,6.53,clear sky
134,Mattru,SL,7.6244,-11.8332,72.28,93,73,2.51,broken clouds
135,Shush,IR,32.1942,48.2436,98.02,14,0,7.27,clear sky
136,Xiuyan,CN,40.2928,123.2744,67.86,94,3,1.12,clear sky
137,Booue,GA,-0.0921,11.9385,73.92,90,86,2.66,overcast clouds
138,Aksha,RU,50.2814,113.2867,55.54,91,30,2.39,scattered clouds
139,Kodiak,US,57.79,-152.4072,56.71,88,100,3.44,overcast clouds
140,Port-Cartier,CA,50.0334,-66.8654,66.42,47,99,10.0,overcast clouds
141,Klaksvik,FO,62.2266,-6.589,47.32,80,99,26.71,overcast clouds
142,Karratha,AU,-20.7377,116.8463,58.78,31,0,13.76,clear sky
143,Port Moresby,PG,-9.4431,147.1797,75.09,88,92,3.96,overcast clouds
144,Nizwa,OM,22.9333,57.5333,91.71,50,100,2.73,overcast clouds
145,Dudinka,RU,69.4058,86.1778,47.62,64,2,11.1,clear sky
146,Sete,FR,43.4018,3.6966,82.26,61,17,9.64,few clouds
147,Benguela,AO,-12.5763,13.4055,67.6,85,3,3.11,clear sky
148,Corrientes,AR,-27.4806,-58.8341,84.16,80,75,2.3,broken clouds
149,Saskylakh,RU,71.9167,114.0833,40.19,77,63,12.62,broken clouds
150,Mount Gambier,AU,-37.8333,140.7667,46.9,90,8,6.11,clear sky
151,Hofn,IS,64.2539,-15.2082,53.4,67,10,9.46,clear sky
152,Honiara,SB,-9.4333,159.95,80.73,78,30,7.0,scattered clouds
153,Kyren,RU,51.6828,102.1408,52.5,90,100,2.95,overcast clouds
154,Pacific Grove,US,36.6177,-121.9166,76.55,68,75,10.36,broken clouds
155,Taoudenni,ML,22.6783,-3.9836,104.85,8,71,7.56,broken clouds
156,Bonavista,CA,48.6499,-53.1147,58.17,91,55,9.35,moderate rain
157,Tual,ID,-5.6667,132.75,80.29,78,100,21.3,overcast clouds
158,Hobart,AU,-42.8794,147.3294,43.05,92,20,6.91,few clouds
159,Muros,ES,42.7762,-9.0603,67.08,79,3,13.78,clear sky
160,Sorland,NO,67.667,12.6934,55.26,88,100,14.45,light rain
161,Pala,TD,9.3642,14.9046,74.88,84,56,3.13,broken clouds
162,Ostrovnoy,RU,68.0531,39.5131,50.16,97,91,4.07,overcast clouds
163,Voyvozh,RU,62.892,54.9635,51.19,58,100,3.24,overcast clouds
164,Log,RU,49.4844,43.8613,64.42,70,45,7.87,scattered clouds
165,Lavrentiya,RU,65.5833,-171.0,48.76,86,100,5.3,overcast clouds
166,Middelburg,ZA,-25.7751,29.4648,52.75,45,0,2.62,clear sky
167,Dunedin,NZ,-45.8742,170.5036,44.67,78,6,4.92,clear sky
168,Ketchikan,US,55.3422,-131.6461,68.47,68,0,12.66,clear sky
169,Tilichiki,RU,60.4667,166.1,46.71,92,100,0.36,overcast clouds
170,Sao Filipe,CV,14.8961,-24.4956,75.09,78,18,11.48,few clouds
171,Gondar,ET,12.6,37.4667,56.59,90,100,0.6,light rain
172,Amahai,ID,-3.3333,128.9167,76.75,92,100,5.97,heavy intensity rain
173,Carnot,CF,4.9409,15.8665,68.92,96,73,0.74,moderate rain
174,Lorengau,PG,-2.0226,147.2712,80.89,78,100,2.62,overcast clouds
175,Kysyl-Syr,RU,63.8986,122.7617,67.87,69,100,2.19,overcast clouds
176,Hambantota,LK,6.1241,81.1185,79.81,80,98,18.81,overcast clouds
177,Kyra,RU,49.5776,111.9753,54.25,91,99,4.36,overcast clouds
178,Hithadhoo,MV,-0.6,73.0833,81.81,71,12,1.07,few clouds
179,Anderson,US,34.5334,-82.6499,93.25,58,40,3.44,scattered clouds
180,Namibe,AO,-15.1961,12.1522,64.54,73,0,11.99,clear sky
181,Fortuna,US,40.5982,-124.1573,66.97,85,100,1.99,overcast clouds
182,Khandyga,RU,62.6667,135.6,74.75,69,37,4.56,scattered clouds
183,Dalvik,IS,65.9702,-18.5286,48.13,94,99,5.28,overcast clouds
184,Tulun,RU,54.5611,100.5792,53.44,90,100,1.88,light rain
185,Abu Dhabi,AE,24.4667,54.3667,91.51,79,0,4.61,clear sky
186,Pinega,RU,64.7001,43.3936,64.58,60,5,4.09,clear sky
187,San Cristobal,VE,7.7669,-72.225,77.18,86,100,4.63,overcast clouds
188,Saint George,US,37.1041,-113.5841,99.63,9,0,18.41,clear sky
189,Torbay,CA,47.6666,-52.7314,70.75,75,20,18.41,few clouds
190,Mandalgovi,MN,45.7625,106.2708,55.83,70,3,12.35,clear sky
191,Ilulissat,GL,69.2167,-51.1,53.62,54,20,6.91,few clouds
192,Tautira,PF,-17.7333,-149.15,77.81,77,45,15.64,scattered clouds
193,Faya,SA,18.3851,42.4509,70.32,43,21,6.17,few clouds
194,Port Hardy,CA,50.6996,-127.4199,53.78,100,100,8.05,light rain
195,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,0,16.11,clear sky
196,Hobyo,SO,5.3505,48.5268,77.14,76,50,27.29,scattered clouds
197,Buala,SB,-8.145,159.5921,81.84,77,49,9.93,light rain
198,Le Port,RE,-20.9373,55.2919,67.96,63,14,7.0,few clouds
199,Cidreira,BR,-30.1811,-50.2056,64.49,92,83,3.49,broken clouds
200,Kotka,FI,60.4664,26.9458,65.46,66,79,4.12,broken clouds
201,Luderitz,NA,-26.6481,15.1594,55.35,79,0,4.94,clear sky
202,Aswan,EG,24.0934,32.907,90.54,18,9,7.45,clear sky
203,Pavlovsk,RU,50.4578,40.1081,68.36,67,64,4.92,broken clouds
204,Cabo San Lucas,MX,22.8909,-109.9124,96.62,43,0,8.05,clear sky
205,Sistranda,NO,63.7256,8.834,53.56,86,100,23.58,light rain
206,Ciudad Guayana,VE,8.3533,-62.6528,82.98,67,97,4.27,overcast clouds
207,Beira,MZ,-19.8436,34.8389,62.69,100,20,3.44,mist
208,Kununurra,AU,-15.7667,128.7333,55.38,41,7,8.05,clear sky
209,Varna,BG,43.2167,27.9167,69.44,86,1,4.61,clear sky
210,Pisco,PE,-13.7,-76.2167,65.01,72,0,6.91,clear sky
211,Bethel,US,41.3712,-73.414,85.73,43,20,17.27,few clouds
212,Albina,SR,5.5,-54.05,78.12,94,91,3.6,overcast clouds
213,Mount Isa,AU,-20.7333,139.5,46.17,71,0,10.36,clear sky
214,Bontang,ID,0.1333,117.5,77.23,84,100,3.22,overcast clouds
215,Tocache,PE,-8.1842,-76.5125,86.43,48,10,1.86,clear sky
216,Kaduqli,SD,11.0167,29.7167,74.91,73,40,3.78,scattered clouds
217,Salalah,OM,17.0151,54.0924,82.49,89,100,8.05,overcast clouds
218,Nome,US,64.5011,-165.4064,51.17,87,100,9.22,light rain
219,Portsmouth,GB,50.799,-1.0913,62.96,83,27,5.99,scattered clouds
