City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Miraflores,MX,2022-07-01 15:11:30,19.2167,-98.8083,67.03,54,45,1.34
67,Pemangkat,ID,2022-07-01 15:11:30,1.1667,108.9667,80.83,83,90,8.63
68,Tocopilla,CL,2022-07-01 15:11:30,-22.092,-70.1979,63.9,69,1,4.88
69,Barrow,US,2022-07-01 15:11:31,71.2906,-156.7887,41.02,81,0,10.36
70,Samarai,PG,2022-07-01 15:11:31,-10.6167,150.6667,81.21,82,78,11.12
71,Castro,BR,2022-07-01 15:11:31,-24.7911,-50.0119,66.94,45,0,4.54
72,Churapcha,RU,2022-07-01 15:11:32,62.0025,132.4325,60.96,78,18,3.2
73,Marmande,FR,2022-07-01 15:11:32,44.5,0.1667,76.75,54,12,4.52
74,Pyaozerskiy,RU,2022-07-01 15:11:32,65.8333,31.1667,81.99,43,28,5.14
75,Lebu,CL,2022-07-01 15:11:33,-37.6167,-73.65,50.07,79,80,19.48
76,Bambanglipuro,ID,2022-07-01 15:11:33,-7.95,110.2833,76.51,83,44,13.02
77,Yushu,CN,2022-07-01 15:11:33,44.8,126.5333,68.94,95,100,5.99
78,Palmer,US,2022-07-01 15:11:34,42.1584,-72.3287,87.66,55,76,3.0
79,Broome,US,2022-07-01 15:11:34,42.2506,-75.833,85.66,59,0,10.36
80,Krabi,TH,2022-07-01 15:06:57,8.0726,98.9105,81.05,97,100,5.48
81,Grand Gaube,MU,2022-07-01 15:11:35,-20.0064,57.6608,72.19,62,54,22.01
82,Longyearbyen,SJ,2022-07-01 15:11:35,78.2186,15.6401,46.24,81,75,13.8
83,Cayenne,GF,2022-07-01 15:11:35,4.9333,-52.3333,86.04,18,75,11.5
84,Terre-De-Bas,GP,2022-07-01 15:11:36,15.8501,-61.6442,85.51,81,80,22.86
85,Kununurra,AU,2022-07-01 15:11:36,-15.7667,128.7333,60.78,72,100,14.97
86,Koshki,RU,2022-07-01 15:11:36,54.2091,50.4677,61.11,79,87,14.9
87,Ojinaga,MX,2022-07-01 15:08:10,29.5667,-104.4167,87.42,48,0,3.44
88,Vao,NC,2022-07-01 15:11:37,-22.6667,167.4833,69.82,74,100,15.9
89,Sibolga,ID,2022-07-01 15:12:37,1.7427,98.7792,76.57,86,51,3.69
90,Nurota,UZ,2022-07-01 15:12:37,40.5614,65.6886,89.19,16,0,9.04
91,Saldanha,ZA,2022-07-01 15:12:38,-33.0117,17.9442,63.77,66,23,16.67
92,Ponta Delgada,PT,2022-07-01 15:12:38,37.7333,-25.6667,75.51,73,20,17.27
93,Alofi,NU,2022-07-01 15:12:38,-19.0595,-169.9187,78.15,72,92,18.34
94,Nan,TH,2022-07-01 15:12:39,18.8333,100.6667,73.13,96,98,1.74
95,Santa Maria,BR,2022-07-01 15:12:39,-29.6842,-53.8069,62.02,64,0,7.49
96,Ha Tinh,VN,2022-07-01 15:12:39,18.3333,105.9,79.92,87,100,4.38
97,Rio Grande,BR,2022-07-01 15:12:40,-32.035,-52.0986,62.71,67,0,17.54
98,Safford,US,2022-07-01 15:08:07,32.834,-109.7076,86.11,47,24,4.21
99,San Jeronimo,PE,2022-07-01 15:12:40,-11.9472,-75.2829,56.17,32,5,1.77
100,Norman Wells,CA,2022-07-01 15:12:40,65.282,-126.8329,64.38,53,96,3.83
101,Latung,PH,2022-07-01 15:12:41,5.5,120.8833,84.24,73,65,5.95
102,Carnarvon,AU,2022-07-01 15:11:07,-24.8667,113.6333,64.76,38,0,15.03
103,Klaksvik,FO,2022-07-01 15:12:41,62.2266,-6.589,52.72,92,100,12.75
104,Tukrah,LY,2022-07-01 15:12:41,32.5341,20.5791,83.95,53,0,12.97
