City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
304,Bengkulu,ID,75.34,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
305,Sioux Lookout,CA,75.27,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
307,Bridgetown,BB,84.69,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
309,Grand-Lahou,CI,76.96,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
315,Isangel,VU,78.91,few clouds,-19.55,169.2667,Tanna Lodge
316,Papetoai,PF,81.99,light rain,-17.4961,-149.8729,Fare Vaihere
322,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
323,Mogadishu,SO,76.59,broken clouds,2.0371,45.3438,Hotel Juba
327,Alexandria,EG,77.63,clear sky,31.2156,29.9553,Royal Crown Hotel
328,Haines Junction,CA,80.55,clear sky,60.7522,-137.5108,Parkside Inn
329,Bitung,ID,77.85,heavy intensity rain,1.4451,125.1824,K2 Lembeh
333,Sulangan,PH,82.24,overcast clouds,11.1373,123.7228,Maia's Beach Resort
334,Kieta,PG,79.97,light rain,-6.2167,155.6333,Uruna Bay Retreat
344,Sibolga,ID,75.61,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
350,Nador,MA,82.47,light rain,35.174,-2.9287,Hôtel La Giralda
353,Labuhan,ID,78.51,scattered clouds,-6.8844,112.2051,DoubleFAG
355,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
357,Santa Marinella,IT,76.91,clear sky,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
358,Faanui,PF,79.16,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
359,Fukue,JP,77.65,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
